class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
e;1.09;b;g;w;f;d;c;g;2.36;1.44;e;g;w;f;f;f;f;u;d;u
p;4.2;b;y;w;f;e;c;w;5.59;3.86;u;k;w;p;w;t;e;w;d;a
p;4.52;b;t;n;f;a;c;n;10.14;6.41;s;y;w;p;w;t;r;k;g;u
e;9.75;x;s;y;f;d;d;w;9.36;15.13;c;i;n;p;f;t;r;w;d;w
p;7.5;x;y;y;f;a;c;n;12.95;12.46;s;y;y;p;w;t;p;k;d;u
p;3.36;s;y;u;f;a;c;w;4.34;7.45;b;i;w;p;k;f;f;r;d;u
e;8.27;x;t;n;t;p;d;y;6.35;21.32;e;h;n;u;y;f;f;e;d;u
p;9.27;x;t;n;f;a;d;w;10.36;27.51;b;d;w;u;u;f;f;w;d;u
e;5.1;x;d;y;f;a;c;o;4.65;11.1;b;d;w;p;e;f;f;r;d;a
p;4.94;o;d;w;f;f;f;f;6.41;33.39;c;g;w;p;y;t;f;r;d;a
e;12.9;p;s;w;t;e;c;n;8.68;17.76;s;s;w;p;w;t;r;b;m;u
e;3.6;x;t;n;f;p;c;n;3.76;9.85;b;h;e;u;f;f;f;n;d;a
e;4.1;x;l;w;f;d;c;r;5.67;7.41;e;l;r;u;l;f;f;l;l;u
e;16.55;s;e;n;f;a;c;w;9.04;25.85;s;d;w;p;p;f;f;r;l;w
e;17.09;f;y;n;f;d;c;w;26.47;18.82;s;y;n;p;e;t;m;w;d;u
e;9.99;x;s;n;t;d;c;w;12.86;20.95;b;w;w;u;w;t;r;p;d;u
p;15.68;x;t;r;t;d;c;n;5.4;27.74;b;l;g;u;n;f;f;e;l;u
e;8.3;f;s;n;f;s;c;w;4.74;9.04;b;i;w;u;e;f;f;y;l;a
e;15.39;x;e;n;t;e;c;w;9.59;15.94;b;i;w;u;w;t;r;e;d;a
e;8.3;s;t;w;t;d;c;p;5.22;24.11;b;d;w;u;w;f;f;u;d;a
p;6.51;x;e;e;f;a;c;n;8.19;10.55;s;g;e;p;w;t;z;k;d;a
p;3.54;s;d;w;f;d;d;w;3.54;2.42;u;h;w;f;f;f;f;e;g;a
p;2.24;b;g;n;f;a;c;g;5.81;2.16;s;s;n;u;w;f;f;k;d;u
p;0.71;x;y;o;f;d;c;o;4.2;1.01;u;h;y;p;l;f;f;w;g;u
p;5.98;x;t;n;f;s;c;n;5.64;7.98;b;y;n;u;l;f;f;e;d;a
e;9.32;x;s;w;f;s;c;w;7.45;26.27;c;g;w;f;f;f;f;e;d;s
e;8.22;f;t;o;f;s;c;y;9.06;12.98;c;i;n;f;f;f;f;w;d;a
p;2.3;f;s;u;f;a;c;w;3.05;3.34;e;i;u;f;f;f;f;w;p;u
e;14.31;p;s;n;t;e;c;n;9.13;17.86;s;g;w;p;w;t;l;n;m;u
e;47.0;o;y;y;f;p;c;y;6.7;31.73;s;k;n;f;f;f;f;w;d;u
e;4.74;x;y;n;f;x;c;u;7.2;4.31;u;y;w;f;f;f;f;p;d;u
e;4.85;x;d;y;f;a;c;y;4.63;9.53;b;y;w;u;e;f;f;w;d;a
p;2.32;x;i;l;f;a;c;p;5.13;2.71;c;s;w;f;f;f;f;p;g;a
p;1.76;b;h;n;f;a;c;n;4.43;1.58;u;t;n;p;o;f;f;k;h;s
e;3.59;x;s;w;f;d;d;w;3.17;4.87;c;h;w;f;f;f;f;w;m;w
p;7.16;x;s;r;t;s;d;w;5.78;15.37;r;i;n;f;f;f;f;w;d;a
p;5.69;c;i;y;f;x;c;n;6.45;8.46;u;i;w;p;w;f;f;n;d;u
e;4.5;x;s;w;f;x;c;w;8.73;9.79;b;i;n;p;w;t;l;e;g;a
p;5.34;s;h;e;t;d;c;p;5.54;5.74;b;y;e;u;e;f;f;e;d;u
p;6.77;b;t;w;f;e;c;w;12.52;11.63;b;y;w;u;w;t;e;u;d;a
e;5.29;x;s;n;f;p;c;n;5.71;11.52;c;g;e;u;f;f;f;w;d;u
p;4.35;s;k;n;f;p;d;n;2.94;6.1;s;k;n;p;g;t;f;o;d;u
p;4.21;f;w;u;f;a;c;g;6.02;7.19;s;s;u;u;u;f;f;k;d;u
p;12.09;x;t;n;f;a;d;w;10.43;27.6;b;h;w;u;u;f;f;w;d;u
p;1.67;x;g;n;f;d;d;n;2.8;2.7;b;s;n;u;f;f;f;g;d;u
p;1.82;b;g;n;f;a;c;g;5.0;1.99;c;s;n;u;l;f;f;k;d;a
p;3.0;o;h;g;f;f;f;f;3.45;16.58;s;g;n;p;w;f;f;g;d;u
e;4.15;x;d;w;f;d;c;r;6.53;7.16;u;d;w;u;f;f;f;p;d;u
p;4.97;c;i;y;f;x;c;r;5.88;7.27;u;i;w;p;w;f;f;n;d;u
e;4.07;f;t;n;f;d;d;o;6.15;7.23;c;t;w;f;f;f;f;e;d;a
e;8.07;x;d;g;f;s;c;p;7.53;20.33;b;h;u;u;o;f;f;w;d;a
p;2.09;p;t;n;f;a;c;n;6.66;2.42;s;t;y;p;w;t;e;k;m;s
p;7.81;s;t;n;t;d;c;w;4.2;11.61;b;t;n;p;u;f;f;u;d;a
e;3.16;b;y;n;f;x;c;n;6.15;2.72;c;s;w;f;f;f;f;n;d;u
e;8.04;s;t;p;t;d;c;o;6.0;17.52;b;s;w;p;w;f;f;g;d;u
p;7.33;x;s;r;t;s;d;r;4.15;14.22;r;y;n;u;y;f;f;e;d;a
e;9.86;f;k;n;t;d;c;w;12.41;19.46;b;g;w;u;w;t;r;w;d;a
p;15.19;x;k;w;t;d;d;n;4.85;24.6;c;d;w;u;w;f;f;y;d;a
e;3.4;b;g;n;f;x;d;w;4.39;3.18;c;s;y;f;f;f;f;w;g;u
e;16.78;p;y;w;f;d;c;w;23.28;17.86;s;s;n;u;e;t;m;e;d;u
p;9.32;s;t;p;t;d;c;p;8.47;15.15;b;l;p;u;e;t;f;u;d;a
e;3.76;f;s;w;f;d;d;w;4.14;7.18;u;h;w;f;f;f;f;w;m;w
e;6.51;p;l;g;f;f;f;f;5.92;21.15;c;f;n;p;w;f;f;r;l;s
e;8.98;x;s;n;f;e;c;p;6.72;10.21;b;i;w;p;w;f;f;p;d;w
p;1.14;f;s;y;f;f;f;f;3.24;5.39;e;y;y;p;o;f;f;b;d;a
p;4.18;x;y;n;f;a;c;w;6.04;3.82;c;y;n;p;w;t;r;y;d;a
p;6.07;s;t;n;t;d;c;g;4.34;12.53;b;t;g;u;u;f;f;e;d;a
e;11.3;x;e;n;f;a;c;w;6.57;26.32;s;s;w;p;w;f;f;p;d;a
e;22.36;p;w;n;f;p;c;w;13.73;66.32;b;y;n;p;e;f;f;r;d;u
p;4.36;x;t;n;f;a;c;n;5.43;7.13;s;y;o;p;e;t;z;k;d;w
e;11.86;x;e;l;f;x;c;w;7.7;19.43;s;y;w;u;u;f;f;w;d;a
e;2.81;f;d;n;t;d;c;p;4.22;5.95;b;w;g;u;p;f;f;e;d;u
e;7.21;f;d;e;f;x;c;w;6.98;16.79;c;s;w;f;f;f;f;w;d;a
e;16.22;f;e;g;f;d;c;w;10.02;28.7;s;d;w;u;u;f;f;w;d;w
e;2.83;b;y;n;f;d;c;k;6.39;3.33;s;s;w;u;p;f;f;k;d;u
p;3.71;x;k;w;f;s;c;p;3.74;2.92;s;y;n;u;f;f;f;p;g;a
p;4.76;x;e;e;f;a;c;y;7.84;9.27;b;g;n;u;w;t;z;w;d;a
e;4.23;b;g;g;f;a;d;g;4.99;3.33;s;s;n;u;r;f;f;w;d;a
e;11.95;s;t;o;t;d;c;o;6.79;19.28;b;s;w;u;u;f;f;e;d;a
e;7.03;f;h;o;f;s;c;n;8.83;12.18;u;i;o;u;f;f;f;w;d;a
p;2.0;c;h;y;f;x;c;n;7.22;2.91;u;y;y;f;f;f;f;n;g;a
e;0.87;p;g;w;f;x;d;g;2.73;1.14;c;d;w;f;f;f;f;e;d;w
p;2.52;f;i;k;f;a;c;w;4.61;2.41;c;i;w;p;o;f;f;p;g;a
p;3.97;o;d;w;f;f;f;f;5.79;31.64;c;g;w;p;y;t;f;b;p;u
e;15.54;s;s;n;f;a;d;y;6.5;16.71;b;g;w;u;w;f;f;w;d;u
e;8.88;x;e;l;f;x;c;w;6.61;16.16;s;d;w;f;f;f;f;w;d;u
e;2.06;f;y;n;f;d;d;p;4.61;2.97;u;i;n;f;f;f;f;e;h;a
p;10.07;s;t;n;t;d;c;n;6.72;16.49;b;d;n;p;p;f;f;r;d;u
p;10.19;x;e;n;t;p;d;e;6.07;20.69;u;y;e;p;e;f;f;u;d;a
e;3.22;x;k;n;f;p;d;y;4.57;9.3;c;s;n;f;f;f;f;e;d;a
p;8.06;b;y;w;f;d;c;k;15.99;17.91;s;g;w;u;e;f;f;w;d;a
p;18.89;x;k;w;t;d;d;n;7.66;33.01;c;h;w;u;e;f;f;y;d;u
e;12.28;f;e;g;f;a;c;w;7.19;25.44;s;s;w;u;r;f;f;w;l;w
p;3.0;x;s;g;f;d;c;w;2.69;6.9;b;d;w;u;e;f;f;e;g;a
p;5.88;x;s;r;t;s;d;r;5.68;13.81;r;i;w;u;w;f;f;w;d;u
p;2.95;f;d;u;f;a;c;w;3.76;6.22;b;g;w;u;y;f;f;w;d;a
p;16.03;f;g;o;f;e;c;w;18.22;18.37;s;y;w;u;w;t;p;e;d;w
e;3.5;x;d;p;f;a;c;e;4.23;6.06;b;y;e;u;e;f;f;e;m;u
p;3.1;x;t;n;f;s;c;p;6.29;8.81;b;g;w;u;n;t;z;r;d;u
p;2.92;x;s;y;f;a;c;y;7.37;6.19;s;s;y;u;w;t;z;k;d;w
p;11.08;o;d;e;f;f;f;f;3.43;24.94;s;g;n;p;y;f;f;b;d;u
p;18.84;f;g;k;f;p;c;y;4.98;36.33;c;h;n;u;l;f;f;e;d;w
p;12.98;x;s;n;t;p;c;y;9.64;29.78;c;g;y;p;l;f;f;p;d;a
p;4.77;o;s;w;f;x;c;w;0.0;0.0;f;f;f;p;b;f;f;n;d;u
e;9.02;f;y;n;f;e;c;p;4.77;12.34;u;y;w;p;w;t;r;n;w;a
p;5.76;x;i;k;f;e;c;g;8.2;8.86;s;y;o;f;f;f;f;r;m;a
e;3.17;x;h;y;f;a;c;o;3.64;7.86;b;h;w;u;y;f;f;e;d;u
p;3.42;f;y;w;f;e;c;n;5.38;3.72;u;k;w;p;w;t;e;g;d;a
p;2.94;x;y;n;f;a;c;w;5.01;3.42;b;y;y;p;f;t;r;g;h;a
p;3.99;o;h;w;f;f;f;f;5.46;29.02;c;g;w;p;y;t;f;b;d;u
p;3.63;f;d;n;f;x;c;w;4.55;2.79;b;s;n;u;f;f;f;g;l;u
p;3.25;s;w;o;t;d;c;n;3.01;5.71;b;l;n;u;y;f;f;u;d;u
p;1.49;b;h;n;f;a;c;n;4.56;1.45;u;t;n;p;o;f;f;k;h;u
p;1.46;x;i;l;f;a;c;p;3.68;2.43;c;i;w;f;k;f;f;p;g;a
e;27.83;p;t;n;f;p;c;y;19.73;85.76;b;y;n;p;e;f;f;r;d;u
e;8.24;x;h;e;f;x;c;w;5.99;15.44;u;s;w;f;f;f;f;w;d;a
p;2.46;f;i;l;f;a;c;p;4.55;2.41;c;y;w;f;f;f;f;p;g;u
p;3.87;x;y;n;f;a;c;w;5.68;3.44;b;y;y;p;f;t;r;p;g;u
p;16.63;s;s;n;f;d;c;y;5.11;32.85;b;k;k;p;e;f;f;g;d;u
e;11.42;f;s;n;f;x;c;n;7.43;21.42;u;d;w;f;f;f;f;g;d;u
e;4.6;x;s;o;f;p;c;n;6.14;11.15;u;g;e;u;f;f;f;w;d;a
p;3.28;x;d;w;f;d;d;w;3.77;2.5;u;h;w;f;f;f;f;u;g;a
p;8.52;x;i;y;f;a;c;k;8.21;8.3;s;i;n;p;k;t;z;k;g;a
p;1.37;o;k;n;f;x;c;n;3.87;1.54;e;h;n;p;o;f;f;r;d;w
e;9.23;s;d;n;f;s;c;u;7.75;19.67;b;g;u;u;o;f;f;w;d;w
p;7.68;x;g;n;f;e;c;w;8.57;14.79;s;y;w;u;w;t;p;e;d;u
e;3.43;x;k;u;f;x;d;u;4.75;4.44;b;s;w;u;g;f;f;e;d;u
e;9.7;x;y;n;t;e;c;p;8.77;17.16;c;y;w;p;w;t;p;n;l;a
p;1.53;x;k;n;f;x;c;n;4.09;1.56;b;h;n;u;f;f;f;p;d;u
e;5.75;p;s;w;f;e;c;n;5.46;12.07;b;d;w;p;w;t;e;k;m;a
p;4.16;x;d;p;f;x;c;w;5.72;6.59;u;d;w;f;f;f;f;r;d;a
e;4.63;x;t;n;f;d;d;o;6.12;7.97;c;t;o;f;f;f;f;e;d;w
p;7.21;f;l;y;f;x;c;y;7.04;12.41;r;i;w;p;w;f;f;p;d;a
e;15.37;x;e;n;t;e;c;w;9.4;17.05;b;g;w;u;w;t;l;e;d;u
p;5.12;o;t;r;f;d;c;y;1.66;15.4;b;k;n;u;p;f;f;e;d;a
p;5.02;f;s;y;f;s;d;y;5.89;11.83;z;i;y;f;f;f;f;e;d;a
e;11.43;x;e;l;f;x;c;w;8.7;21.64;c;h;w;f;f;f;f;w;d;a
p;6.26;x;s;g;f;d;c;w;5.73;10.47;b;d;n;u;e;f;f;e;l;a
e;3.48;x;h;n;f;a;c;k;5.37;6.09;e;s;w;u;w;f;f;k;d;a
p;10.97;s;t;r;t;d;c;n;5.56;13.33;b;h;n;u;e;f;f;e;h;u
p;3.0;x;y;w;f;x;c;p;7.69;3.84;c;s;p;p;o;f;f;n;d;a
e;7.15;f;h;o;f;s;c;n;8.88;13.08;b;t;o;p;w;f;f;w;d;a
e;1.6;x;t;n;f;a;d;w;5.64;1.85;c;t;y;f;f;f;f;w;g;u
e;5.67;x;y;n;f;s;d;w;4.32;7.43;e;y;w;u;k;f;f;w;d;a
p;8.92;x;e;g;t;x;c;u;9.7;21.88;s;s;u;p;u;f;f;n;d;a
p;2.1;p;t;n;f;a;c;g;6.07;2.22;s;t;y;p;w;t;e;k;m;s
p;10.98;x;t;n;f;a;d;w;11.4;32.75;b;g;w;u;u;f;f;w;d;a
p;8.77;b;y;w;f;d;c;k;18.06;18.97;z;g;w;u;y;f;f;w;d;a
e;50.79;o;y;y;f;p;d;y;6.24;27.18;u;k;n;f;f;f;f;e;d;u
p;2.52;x;t;n;f;a;c;n;4.49;5.15;s;y;o;p;e;t;z;k;d;w
p;0.96;x;g;e;f;a;c;n;4.37;1.18;e;s;k;u;f;f;f;b;d;a
e;4.02;x;h;n;f;a;c;n;6.89;7.29;e;s;w;u;w;f;f;k;d;u
p;4.31;o;s;n;f;x;c;w;0.0;0.0;f;f;f;p;b;f;f;n;d;a
p;0.79;b;t;n;f;x;c;g;2.58;2.29;c;s;n;p;f;t;f;e;m;a
e;8.72;x;h;y;f;p;c;y;8.11;15.42;e;y;y;p;y;t;r;w;d;a
p;2.8;o;l;g;f;f;f;f;0.0;0.0;f;f;f;p;b;f;f;u;d;u
e;3.89;x;l;y;f;a;c;o;4.24;9.89;u;d;w;f;f;f;f;w;d;a
e;3.43;x;k;n;f;p;c;n;4.68;9.67;b;d;y;f;f;f;f;n;d;a
e;5.76;f;y;g;f;s;c;w;4.83;7.79;u;y;w;f;f;f;f;u;d;a
p;0.61;x;g;y;f;x;c;y;3.61;0.73;b;i;y;f;f;f;f;n;d;a
e;3.26;x;l;b;f;d;d;w;6.59;4.99;c;k;w;f;f;f;f;w;d;w
p;3.55;s;w;o;t;d;c;y;4.33;6.54;b;t;n;u;y;f;f;e;d;a
e;1.42;c;g;n;f;a;c;g;5.01;1.66;e;s;g;p;l;f;f;w;l;u
p;14.39;x;g;e;f;e;c;w;16.98;17.48;s;y;w;u;w;t;p;e;d;w
p;3.1;f;h;b;f;x;c;w;4.28;5.55;u;h;w;f;f;f;f;p;d;a
e;12.32;x;e;y;f;x;c;w;7.51;22.09;s;h;w;f;f;f;f;w;d;a
e;3.7;x;t;n;f;d;c;o;5.74;7.43;b;t;w;p;u;f;f;u;d;a
e;2.73;s;y;n;f;a;d;p;5.31;3.41;c;i;n;f;f;f;f;p;l;u
e;7.62;s;s;y;f;a;c;w;7.08;17.01;b;g;g;u;w;f;f;e;d;a
p;8.74;x;e;n;f;a;c;n;12.06;15.55;s;l;n;u;n;f;f;k;h;a
p;2.66;f;s;g;f;d;c;w;2.83;7.62;b;s;w;u;e;f;f;e;g;u
p;2.87;b;t;r;f;a;c;r;4.77;5.18;s;t;r;u;n;f;f;w;m;u
e;2.68;b;y;n;f;x;c;n;6.37;2.57;c;y;w;f;f;f;f;n;d;a
p;2.93;f;s;u;f;a;c;w;2.78;3.28;e;i;u;f;f;f;f;w;p;u
p;3.97;f;k;n;f;s;c;p;3.98;2.85;c;i;n;u;f;f;f;p;g;a
e;3.84;x;t;n;f;d;c;o;6.0;7.66;b;t;o;p;e;f;f;u;d;a
e;5.27;x;d;w;f;x;c;n;8.61;10.53;b;g;n;u;w;t;r;u;d;u
e;4.49;f;h;w;f;x;c;w;6.6;3.87;e;s;w;p;y;f;f;n;d;a
e;6.61;f;h;k;f;s;d;g;6.15;9.86;c;s;g;f;f;f;f;e;d;u
e;10.01;x;e;y;f;x;c;w;6.81;20.08;c;s;w;f;f;f;f;w;d;a
e;3.31;b;g;g;f;a;d;g;4.94;2.76;c;s;n;u;r;f;f;w;d;s
p;3.02;o;d;k;f;f;f;f;3.36;13.43;s;g;g;p;l;f;f;g;d;u
p;4.9;s;d;e;t;d;c;p;6.0;5.36;b;y;e;u;e;f;f;e;d;u
p;5.82;x;k;g;f;d;c;y;4.44;9.88;b;k;n;u;u;f;f;w;d;a
e;8.24;x;s;n;f;e;c;w;7.32;10.43;b;i;n;p;e;f;f;p;d;u
p;8.46;x;k;u;t;x;c;n;10.81;23.51;s;g;g;p;u;f;f;n;d;a
p;1.74;b;g;n;f;a;c;g;4.5;1.67;s;s;g;p;w;f;f;k;d;u
p;10.2;x;y;n;f;a;c;y;13.04;11.73;e;y;n;p;l;t;z;u;d;u
p;2.21;p;t;n;f;a;c;g;7.37;2.53;s;t;y;p;w;t;e;k;m;a
e;1.58;x;s;y;f;a;c;w;6.84;2.41;c;t;y;f;f;f;f;e;g;a
p;2.31;c;t;y;f;a;c;y;8.68;3.54;e;d;y;p;l;f;f;u;g;u
e;8.82;s;w;y;f;f;f;f;6.1;17.09;c;l;y;p;y;f;f;b;d;a
e;11.45;s;h;w;t;d;c;y;6.89;27.53;b;h;w;u;u;f;f;e;d;a
p;0.7;x;s;o;f;d;c;o;4.04;0.97;u;l;y;p;l;f;f;w;g;a
e;11.21;x;h;n;t;p;d;y;7.82;22.72;c;d;n;u;y;f;f;e;d;a
e;13.17;s;d;l;f;s;c;b;7.46;20.48;b;g;b;p;r;f;f;p;l;w
e;7.42;x;h;y;t;x;c;y;8.89;17.0;b;d;w;u;w;f;f;w;d;a
p;6.83;x;h;e;f;x;d;w;5.4;16.41;b;d;w;u;e;f;f;w;d;a
p;8.33;x;y;y;f;a;c;n;10.03;12.04;e;y;n;p;w;t;e;n;d;u
e;2.74;f;y;n;f;d;d;p;7.3;4.09;c;i;n;f;f;f;f;u;l;u
p;8.08;f;t;e;f;x;d;w;6.38;17.92;b;d;w;u;e;f;f;w;d;u
e;5.57;s;s;n;f;d;c;w;4.16;7.82;b;s;w;u;w;f;f;w;d;u
p;12.83;x;k;n;f;e;c;w;11.25;14.62;b;i;w;u;w;t;r;w;d;u
p;5.15;x;t;e;f;x;c;w;3.24;13.41;b;l;y;u;w;f;f;w;d;a
p;5.37;c;k;y;t;x;c;y;6.18;12.21;b;d;w;p;e;f;f;n;d;a
p;2.64;x;s;o;f;a;c;o;3.21;5.22;s;k;y;f;f;f;f;u;h;a
p;2.11;s;w;o;t;d;c;y;3.25;6.14;b;t;n;u;y;f;f;e;d;u
p;1.68;b;h;n;f;a;c;n;4.93;1.59;u;t;n;p;o;f;f;k;h;u
e;10.9;f;e;b;f;x;c;b;5.06;19.2;c;d;w;p;f;t;f;e;d;a
p;1.11;b;h;n;f;a;c;n;4.59;1.39;s;t;n;p;w;f;f;k;d;a
e;3.9;x;s;y;f;a;c;y;3.85;8.53;u;y;w;f;f;f;f;y;d;a
p;9.6;x;t;n;f;a;d;w;10.84;28.52;b;y;w;u;u;f;f;w;d;u
e;9.93;x;s;y;f;a;d;w;7.76;12.64;b;i;n;p;e;t;p;w;d;u
p;6.19;s;d;o;f;d;c;o;3.99;7.0;b;y;y;p;w;f;f;b;d;u
p;2.95;b;w;u;f;a;c;g;4.39;5.29;s;s;u;u;w;f;f;k;l;a
p;7.26;o;d;e;f;f;f;f;3.37;24.93;s;g;n;p;y;f;f;b;d;u
p;9.46;f;y;u;f;s;c;y;8.23;20.28;b;y;y;u;u;f;f;w;d;a
e;5.3;x;l;w;f;a;c;r;6.44;7.67;c;l;r;f;f;f;f;w;d;a
e;10.01;f;e;b;f;x;c;b;5.41;21.51;u;d;w;p;f;t;f;n;d;a
p;1.09;b;t;n;f;d;c;k;3.7;2.33;b;g;n;p;e;t;f;k;g;a
e;5.26;x;t;n;f;e;c;w;10.61;10.89;b;s;w;u;w;f;f;w;d;a
e;9.81;p;i;n;t;e;c;p;9.17;17.71;b;y;w;u;w;t;p;g;d;a
p;7.2;x;g;n;f;e;c;w;7.69;15.52;s;y;w;u;w;t;p;e;d;a
e;5.06;x;d;w;f;a;c;r;6.44;8.56;s;y;w;u;b;f;f;w;l;a
p;2.87;f;y;o;f;d;c;o;3.14;5.15;c;k;y;f;f;f;f;u;h;a
e;7.64;f;e;b;f;x;c;b;4.84;17.32;b;d;w;u;e;t;f;e;d;a
p;3.0;f;s;o;f;a;c;o;2.97;5.02;s;h;y;f;f;f;f;u;m;a
p;1.23;s;s;y;f;f;f;f;3.0;4.77;u;g;y;f;f;f;f;u;d;u
e;14.74;x;e;n;t;e;c;w;8.82;15.49;b;g;w;p;y;t;l;u;g;a
e;6.46;x;h;n;f;a;d;n;5.8;5.33;c;t;g;p;w;t;l;w;d;u
e;5.78;f;w;y;f;f;f;f;4.86;10.09;c;s;y;p;y;f;f;n;d;a
e;2.31;x;s;w;f;d;d;w;2.89;5.94;c;h;w;f;f;f;f;w;g;w
e;7.8;s;s;n;f;x;c;w;3.79;17.87;u;s;n;f;f;f;f;w;d;u
e;10.58;x;e;y;f;x;c;w;8.03;23.66;s;k;w;f;f;f;f;w;d;u
e;11.95;x;s;u;f;x;c;n;7.61;24.28;b;i;p;p;p;f;f;n;d;a
p;1.84;x;i;k;f;a;c;w;3.6;2.48;c;i;w;p;w;f;f;p;g;u
p;7.87;f;t;y;f;x;c;y;5.63;14.69;b;h;y;u;y;f;f;w;d;a
e;7.49;x;s;b;f;d;d;o;6.09;12.75;c;d;w;f;f;f;f;y;d;w
e;1.33;f;w;g;f;x;d;k;4.53;2.36;s;y;w;u;e;f;f;k;g;s
e;3.51;b;g;w;f;x;d;w;4.74;2.84;s;d;y;f;f;f;f;u;g;u
p;0.61;b;t;y;f;x;c;g;2.99;2.28;c;h;n;p;f;t;f;u;m;a
e;4.42;x;s;n;f;x;c;n;7.62;8.73;b;t;n;p;w;t;l;r;g;s
e;3.1;s;l;n;f;f;f;f;6.36;7.03;u;l;o;p;y;f;f;b;d;a
e;12.44;x;t;n;f;a;d;k;5.15;15.38;b;l;w;u;w;f;f;w;d;w
e;17.62;p;y;n;f;d;c;w;29.26;19.08;s;y;n;p;e;t;m;w;d;u
p;11.44;x;e;n;t;p;c;e;10.72;31.55;s;s;e;p;u;f;f;g;d;u
p;5.0;x;t;o;f;a;c;y;5.98;7.84;e;g;o;u;f;f;f;w;g;u
e;2.77;x;k;b;f;x;d;w;5.62;4.66;c;k;w;f;f;f;f;w;d;w
p;3.12;b;y;n;f;a;c;w;5.5;4.5;s;s;w;u;y;f;f;u;d;a
e;9.64;o;k;n;f;x;c;w;5.51;25.23;s;h;n;f;f;f;f;w;d;u
e;1.51;x;g;y;f;d;c;w;5.41;1.99;s;t;y;f;f;f;f;u;g;u
e;3.0;x;k;b;f;x;d;u;6.61;4.57;e;d;w;u;f;f;f;u;d;w
e;8.96;x;s;n;f;d;d;w;8.34;14.91;u;i;n;p;w;t;p;w;d;w
e;7.49;x;d;n;f;a;c;w;7.49;14.58;c;s;g;f;f;f;f;w;d;u
p;3.88;o;h;w;f;f;f;f;5.82;33.66;c;g;w;p;y;t;f;g;d;u
p;9.56;x;h;r;f;d;c;w;11.05;14.55;b;g;w;u;w;t;r;w;d;u
p;8.01;x;g;n;f;e;c;w;8.81;14.45;s;y;w;u;w;t;p;e;d;a
p;3.02;o;h;g;f;f;f;f;3.06;13.25;s;g;g;p;y;f;f;b;d;a
e;5.53;x;y;w;f;e;c;n;3.91;11.43;b;s;w;p;w;t;e;o;m;u
p;5.96;x;s;g;t;s;d;w;4.88;13.19;r;i;w;f;f;f;f;e;d;u
p;1.94;x;i;l;f;a;c;p;4.5;2.49;c;i;w;f;k;f;f;p;g;u
p;6.58;x;w;e;f;x;c;w;11.93;6.57;r;g;n;p;l;f;f;g;d;a
p;0.84;b;t;n;f;x;c;g;3.29;2.36;u;d;n;p;f;t;f;u;g;u
p;0.64;x;y;o;f;d;c;o;4.64;1.07;u;h;y;p;l;f;f;w;g;u
e;11.58;s;t;p;t;d;c;o;7.25;17.93;b;s;w;u;e;f;f;w;d;u
e;2.98;x;d;n;f;p;c;e;4.69;10.29;c;i;y;f;f;f;f;e;d;a
p;2.46;f;i;k;f;a;c;w;4.55;2.68;c;d;w;p;l;f;f;p;g;u
e;4.6;f;t;n;f;d;c;o;5.89;7.6;b;t;o;p;w;f;f;u;d;a
p;8.88;s;t;p;t;d;c;p;8.02;14.1;b;l;p;u;e;t;f;u;d;u
e;9.82;f;d;w;f;s;c;w;5.83;26.12;s;g;w;u;y;f;f;w;m;u
e;4.22;x;h;n;f;a;c;k;6.96;7.78;e;s;w;u;w;f;f;k;d;u
e;13.51;x;e;n;f;d;c;w;10.41;27.99;s;l;w;u;n;f;f;w;l;w
e;8.58;x;h;y;t;x;c;y;7.28;16.8;b;d;w;p;w;f;f;g;d;a
e;7.99;x;h;e;f;x;c;w;8.36;20.49;c;s;w;f;f;f;f;w;d;a
p;0.77;x;g;p;f;a;c;p;4.13;1.07;c;s;k;p;o;f;f;u;d;u
e;6.75;o;h;n;f;f;f;f;5.97;22.56;s;g;n;p;w;f;f;g;d;s
e;7.11;f;s;n;f;s;c;w;5.29;9.09;b;i;w;u;e;f;f;w;l;u
p;0.75;x;y;o;f;d;c;o;5.05;1.02;u;d;o;p;w;f;f;w;g;a
p;3.47;f;d;y;f;a;c;r;4.93;6.61;s;t;r;u;n;f;f;k;g;u
p;4.76;c;i;y;f;a;c;n;7.1;8.62;s;i;w;u;r;f;f;k;d;a
e;15.95;x;e;n;f;a;c;w;10.72;27.55;s;s;w;p;u;f;f;r;d;a
e;10.59;x;t;n;t;p;d;y;7.38;22.1;e;s;n;u;y;f;f;e;d;a
p;3.59;f;l;u;f;a;c;w;3.77;5.93;b;d;y;u;w;f;f;w;d;a
e;0.9;p;g;g;f;e;c;g;2.91;1.63;c;d;w;p;o;f;f;o;d;u
p;8.5;x;t;n;t;x;c;u;9.24;20.73;s;h;n;u;u;f;f;e;d;a
p;0.91;x;g;w;f;a;d;w;3.05;1.68;b;y;e;p;u;f;f;u;l;u
p;3.62;s;d;y;f;d;c;o;3.54;5.75;b;s;o;p;w;f;f;g;d;a
e;6.87;x;k;y;f;e;c;w;5.79;13.25;b;l;y;u;y;t;r;e;d;a
p;6.3;s;d;e;t;d;c;w;6.06;6.13;b;g;n;p;u;f;f;n;d;u
